@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomSubset-N9.0-S10

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute quality {3,4,5,6,7,8,9}

@data
7.2,0.21,0.35,14.5,0.048,35,178,3.05,0.47,6
7.1,0.21,0.4,1.2,0.069,24,156,3.42,0.43,6
8.4,0.17,0.31,6.7,0.038,29,132,3.1,0.32,7
7.4,0.24,0.31,8.4,0.045,52,183,3.09,0.32,5
5.3,0.24,0.33,1.3,0.033,25,97,3.59,0.38,8
6.5,0.28,0.26,8.8,0.04,44,139,3.32,0.37,6
6.3,0.23,0.21,5.1,0.035,29,142,3.36,0.33,7
6.5,0.29,0.25,10.6,0.039,32,120,3.31,0.34,6
5.8,0.29,0.21,2.6,0.025,12,120,3.39,0.79,7
6.3,0.27,0.25,5.8,0.038,52,155,3.28,0.38,6
6.3,0.17,0.42,2.8,0.028,45,107,3.27,0.43,6
6.3,0.16,0.4,1.6,0.033,59,148,3.44,0.53,5
7.9,0.29,0.39,6.7,0.036,6,117,3.12,0.42,5
7.3,0.31,0.69,10.2,0.041,58,160,3.06,0.45,5
5.5,0.32,0.45,4.9,0.028,25,191,3.51,0.49,7
5.2,0.24,0.45,3.8,0.027,21,128,3.55,0.49,8
7.2,0.37,0.15,2,0.029,27,87,3.3,0.59,7
6.1,0.29,0.27,1.7,0.024,13,76,3.21,0.51,7
9.2,0.22,0.4,2.4,0.054,18,151,3.04,0.46,4
7.2,0.37,0.15,2,0.029,27,87,3.3,0.59,7
8,0.18,0.37,1.3,0.04,15,96,3.06,0.61,6
6.5,0.22,0.34,12,0.053,55,177,3.52,0.44,6
7.4,0.18,0.4,1.6,0.047,22,102,3.28,0.44,5
6.5,0.52,0.17,1.4,0.047,5,26,3.26,0.32,4
7,0.15,0.38,2.2,0.047,33,96,3.13,0.39,8
5.9,0.415,0.13,1.4,0.04,11,64,3.29,0.52,5
8.1,0.45,0.34,8.3,0.037,33,216,3.31,0.64,5
5.8,0.415,0.13,1.4,0.04,11,64,3.29,0.52,5
6.4,0.5,0.16,12.9,0.042,26,138,3.28,0.33,5
6.7,0.105,0.32,12.4,0.051,34,106,3.54,0.45,6
6,0.4,0.3,1.6,0.047,30,117,3.17,0.48,6
6.6,0.25,0.39,1.45,0.04,40,89,3.35,0.4,7
9.8,0.36,0.45,1.6,0.042,11,124,2.93,0.46,5
9.6,0.23,0.4,1.5,0.044,19,135,2.96,0.49,5
6.3,0.55,0.45,13,0.047,33,182,3.2,0.46,6
6.5,0.115,0.29,1.95,0.038,73,166,3.12,0.25,7
6.4,0.125,0.29,5.85,0.042,24,99,3.23,0.32,7
5.7,0.1,0.27,1.3,0.047,21,100,3.27,0.46,5
7.9,0.25,0.29,5.3,0.031,33,117,3.06,0.32,7
6.9,0.2,0.28,1.2,0.048,36,159,3.19,0.43,6
6.9,0.23,0.34,4,0.047,24,128,3.2,0.52,6
6.8,0.39,0.31,14.35,0.043,28,162,3.17,0.54,5
8.7,0.22,0.42,2.3,0.053,27,114,2.99,0.43,5
7.4,0.41,0.34,4.7,0.042,19,127,3.25,0.42,5
6.7,0.25,0.34,12.85,0.048,30,161,3.44,0.47,6
6,0.26,0.42,5.2,0.027,70,178,3.4,0.4,8
6.1,0.31,0.37,8.4,0.031,70,170,3.42,0.4,8
9.2,0.28,0.46,3.2,0.058,39,133,3.14,0.58,5
9,0.31,0.49,6.9,0.034,26,91,2.99,0.34,5
8.5,0.16,0.33,1,0.076,17,57,3.14,0.46,6
9.3,0.34,0.49,7.3,0.052,30,146,3.17,0.61,5
9.2,0.28,0.46,3.2,0.058,39,133,3.14,0.58,5
7.2,0.24,0.3,1.6,0.048,27,131,3.25,0.45,5
7.2,0.25,0.32,1.5,0.047,27,132,3.26,0.44,5
6.8,0.32,0.18,7.5,0.041,71,223,3.14,0.41,5
9.1,0.27,0.32,1.1,0.031,15,151,3.03,0.41,5
8.9,0.34,0.32,1.3,0.041,12,188,3.17,0.49,5
7,0.17,0.37,5.7,0.025,29,111,3.2,0.49,6
6.7,0.25,0.23,7.2,0.038,61,220,3.14,0.35,5
6.9,0.32,0.17,7.6,0.042,69,219,3.13,0.4,5
6.8,0.32,0.18,7.5,0.041,71,223,3.14,0.41,5
6.1,0.6,0,1.3,0.042,24,79,3.31,0.38,4
5.3,0.395,0.07,1.3,0.035,26,102,3.5,0.35,6
7.9,0.16,0.3,4.8,0.037,37,171,3.47,0.44,4
7.6,0.33,0.36,2.1,0.034,26,172,3.42,0.48,4
7.8,0.3,0.29,16.85,0.054,23,135,3.16,0.38,6
7.8,0.3,0.29,16.85,0.054,23,135,3.16,0.38,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,3.27,0.38,6
7.8,0.3,0.29,16.85,0.054,23,135,3.16,0.38,6
7.5,0.14,0.34,1.3,0.055,50,153,3.29,0.8,6
7.8,0.3,0.29,16.85,0.054,23,135,3.16,0.38,6
6.6,0.25,0.41,7.4,0.043,29,151,3.15,0.6,7
5.7,0.26,0.27,4.1,0.201,73.5,189.5,3.27,0.38,6
8.2,0.23,0.49,0.9,0.057,15,73,3.07,0.38,6
6,0.24,0.32,6.3,0.03,34,129,3.52,0.41,5
6.1,0.45,0.27,0.8,0.039,13,82,3.23,0.32,5
7.4,0.23,0.43,1.4,0.044,22,113,3.22,0.62,6
7.2,0.2,0.38,1,0.037,21,74,3.21,0.37,5
7.5,0.14,0.34,1.3,0.055,50,153,3.29,0.8,6
7.7,0.25,0.43,4.5,0.062,20,115,3.38,0.5,6
8.2,0.61,0.45,5.4,0.03,15,118,3.14,0.34,5
7.6,0.21,0.44,1.9,0.036,10,119,3.01,0.7,6
7.4,0.22,0.33,2,0.045,31,101,3.42,0.55,5
7.2,0.26,0.26,12.7,0.036,49,214,3.41,0.5,6
6.4,0.25,0.41,8.6,0.042,57,173,3,0.44,5
6.3,0.32,0.35,11.1,0.039,29,198,3.36,0.5,7
6.8,0.25,0.29,2,0.042,19,189,3.46,0.54,6
9.8,0.44,0.4,2.8,0.036,35,167,2.97,0.39,5
7.2,0.2,0.25,4.5,0.044,31,109,3.23,0.36,5
8.2,0.61,0.45,5.4,0.03,15,118,3.14,0.34,5
7.5,0.42,0.45,9.1,0.029,20,125,3.12,0.36,6
7.4,0.22,0.33,2,0.045,31,101,3.42,0.55,5
6.4,0.26,0.3,2.2,0.025,33,134,3.21,0.47,6
7.9,0.46,0.32,4.1,0.033,40,138,3.18,0.44,7
6.5,0.41,0.64,11.8,0.065,65,225,3.12,0.51,5
7.5,0.32,0.37,1.2,0.048,22,184,3.09,0.43,5
6.6,0.21,0.38,2.2,0.026,40,104,3.25,0.4,8
7.1,0.21,0.3,1.4,0.037,45,143,3.13,0.33,6
7.6,0.26,0.47,1.6,0.068,5,55,3.1,0.45,5
7.6,0.21,0.44,1.9,0.036,10,119,3.01,0.7,6
6.9,0.25,0.26,5.2,0.024,36,135,3.16,0.72,7
7.1,0.26,0.32,14.45,0.074,29,107,2.96,0.42,6
7.3,0.22,0.4,14.75,0.042,44.5,129.5,3.36,0.41,7
6.2,0.37,0.22,8.3,0.025,36,216,3.33,0.6,6
7.9,0.22,0.45,14.2,0.038,53,141,3.03,0.46,6
6.9,0.25,0.26,5.2,0.024,36,135,3.16,0.72,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,3.36,0.41,7
7.1,0.26,0.32,14.45,0.074,29,107,2.96,0.42,6
7.4,0.25,0.37,6.9,0.02,14,93,3,0.48,7
6.8,0.18,0.37,1.5,0.027,37,93,3.3,0.45,6
7,0.17,0.37,1.5,0.028,26,75,3.3,0.46,7
6.4,0.3,0.38,7.8,0.046,35,192,3.1,0.37,5
5,0.33,0.16,1.5,0.049,10,97,3.48,0.44,6
5,0.33,0.16,1.5,0.049,10,97,3.48,0.44,6
8.9,0.33,0.32,1.5,0.047,11,200,3.19,0.46,5
7,0.26,0.46,15.55,0.037,61,171,2.94,0.35,6
6.4,0.3,0.38,7.8,0.046,35,192,3.1,0.37,5
6.3,0.21,0.4,1.7,0.031,48,134,3.42,0.49,6
8,0.23,0.46,1.5,0.03,30,125,3.23,0.47,6
9.2,0.28,0.41,1,0.042,14,59,2.96,0.25,6
7.3,0.27,0.39,6.7,0.064,28,188,3.29,0.3,5
7.6,0.32,0.36,1.6,0.04,32,155,3.23,0.52,6
5,0.33,0.16,1.5,0.049,10,97,3.48,0.44,6
9.7,0.24,0.45,1.2,0.033,11,59,2.74,0.47,6
8,0.28,0.42,7.1,0.045,41,169,3.17,0.43,5
8.2,0.37,0.36,1,0.034,17,93,3.04,0.32,8
8,0.61,0.38,12.1,0.301,24,220,2.94,0.48,5
7.2,0.26,0.44,7.1,0.027,25,126,3.02,0.34,8
8.2,0.37,0.36,1,0.034,17,93,3.04,0.32,8
6.4,0.23,0.33,1.15,0.044,15.5,217.5,3.33,0.44,6
5.9,0.4,0.32,6,0.034,50,127,3.51,0.58,7
7.6,0.28,0.39,1.2,0.038,21,115,3.16,0.67,6
8,0.28,0.42,7.1,0.045,41,169,3.17,0.43,5
7.2,0.23,0.39,2.3,0.033,29,102,3.26,0.54,7
6.8,0.32,0.37,3.4,0.023,19,87,3.14,0.53,6
7.2,0.23,0.39,2.3,0.033,29,102,3.26,0.54,7
6.9,0.18,0.38,6.5,0.039,20,110,3.1,0.42,5
9.4,0.26,0.53,1.2,0.047,25,109,3.23,0.28,6
8.3,0.33,0.42,1.15,0.033,18,96,3.2,0.32,3
7.3,0.29,0.3,13,0.043,46,238,3.06,0.41,6
7.9,0.41,0.37,4.5,0.03,40,114,3.17,0.54,7
7.9,0.44,0.37,5.85,0.033,27,93,3.16,0.54,7
7.7,0.39,0.3,5.2,0.037,29,131,3.38,0.44,6
7.7,0.26,0.31,1.3,0.043,47,155,3.42,0.5,6
7.8,0.32,0.31,1.7,0.036,46,195,3.03,0.48,5
6.8,0.32,0.37,3.4,0.023,19,87,3.14,0.53,6
7.3,0.24,0.39,3.6,0.024,35,116,3.17,0.51,5
7.1,0.44,0.37,2.7,0.041,35,128,3.07,0.43,7
10.3,0.25,0.48,2.2,0.042,28,164,3.19,0.59,5
7.9,0.14,0.28,1.8,0.041,44,178,3.45,0.43,6
7.4,0.18,0.42,2.1,0.036,33,187,3.4,0.41,7
8.1,0.43,0.42,6.6,0.033,36,141,2.98,0.39,7
7.1,0.44,0.37,2.7,0.041,35,128,3.07,0.43,7
6.4,0.26,0.22,5.1,0.037,23,131,3.29,0.32,5
8,0.66,0.72,17.55,0.042,62,233,2.92,0.68,4
8,0.2,0.4,5.2,0.055,41,167,3.18,0.4,7
7.2,0.21,0.34,1.1,0.046,25,80,3.25,0.4,6
7.2,0.18,0.31,1.1,0.045,20,73,3.32,0.4,7
8.4,0.57,0.44,10.7,0.051,46,195,3.15,0.51,5
5.3,0.26,0.23,5.15,0.034,48,160,3.82,0.51,7
5.7,0.245,0.33,1.1,0.049,28,150,3.13,0.42,5
5.6,0.245,0.32,1.1,0.047,24,152,3.12,0.42,6
7.3,0.25,0.41,1.8,0.037,52,165,3.29,0.39,7
7,0.16,0.73,1,0.138,58,150,3.08,0.3,5
6.4,0.22,0.34,1.8,0.057,29,104,3.81,0.57,6
7.3,0.18,0.65,1.4,0.046,28,157,3.33,0.62,6
6.4,0.17,0.27,6.7,0.036,88,223,3.28,0.35,6
6.9,0.29,0.16,6.8,0.034,65,212,3.08,0.39,6
6.2,0.21,0.38,6.8,0.036,64,245,3.06,0.36,6
6.4,0.23,0.3,7.1,0.037,63,236,3.06,0.34,6
7.3,0.19,0.68,1.5,0.05,31,156,3.32,0.64,6
7.3,0.18,0.65,1.4,0.046,28,157,3.33,0.62,6
9.6,0.29,0.46,1.45,0.039,77.5,223,2.92,0.46,6
7.2,0.14,0.35,1.2,0.036,15,73,3.46,0.39,5
6.9,0.31,0.34,7.4,0.059,36,174,3.46,0.62,7
7.5,0.28,0.34,4.2,0.028,36,116,2.99,0.41,8
8,0.22,0.42,14.6,0.044,45,163,3.21,0.69,7
7.6,0.31,0.29,10.5,0.04,21,145,3.04,0.35,5
8.4,0.35,0.56,13.8,0.048,55,190,3.07,0.58,6
8,0.22,0.42,14.6,0.044,45,163,3.21,0.69,7
8.1,0.5,0.47,1.1,0.037,23,126,3.21,0.42,5
7,0.39,0.31,5.3,0.169,32,162,3.2,0.48,5
8.1,0.5,0.47,1.1,0.037,23,126,3.21,0.42,5
8.4,0.35,0.56,13.8,0.048,55,190,3.07,0.58,6
6.2,0.22,0.27,1.5,0.064,20,132,3.22,0.46,6
8,0.22,0.42,14.6,0.044,45,163,3.21,0.69,7
7.6,0.31,0.29,10.5,0.04,21,145,3.04,0.35,5
7,0.24,0.36,4.9,0.083,10,133,3.33,0.37,6
6.6,0.27,0.3,1.9,0.025,14,153,3.29,0.62,6
7.8,0.16,0.41,1.7,0.026,29,140,3.02,0.78,6
7.7,0.27,0.34,1.8,0.028,26,168,2.99,0.48,7
7.4,0.31,0.74,10.7,0.039,51,147,3.02,0.43,5
8,0.45,0.36,8.8,0.026,50,151,3.07,0.25,8
7.7,0.27,0.34,1.8,0.028,26,168,2.99,0.48,7
7.8,0.16,0.41,1.7,0.026,29,140,3.02,0.78,6
6.6,0.16,0.29,1.8,0.05,40,147,3.06,0.44,7
8.3,0.21,0.4,1.6,0.032,35,110,3.02,0.6,7
7.2,0.32,0.33,1.4,0.029,29,109,3.15,0.51,7
6.6,0.16,0.3,1.6,0.034,15,78,3.38,0.44,6
8.4,0.16,0.33,1.5,0.033,16,98,3.14,0.42,6
7.5,0.23,0.32,9.2,0.038,54,191,3.04,0.56,6
6.2,0.17,0.3,1.1,0.037,14,79,3.5,0.54,6
6.9,0.39,0.22,4.3,0.03,10,102,3,0.87,4
6.9,0.41,0.22,4.2,0.031,10,102,3,0.86,4
7.5,0.23,0.32,9.2,0.038,54,191,3.04,0.56,6
7.5,0.38,0.33,5,0.045,30,131,3.32,0.44,6
7.3,0.42,0.38,6.8,0.045,29,122,3.19,0.37,7
7.3,0.34,0.39,5.2,0.04,45,163,3.3,0.47,6
7.8,0.23,0.28,4.75,0.042,45,166,2.96,0.4,5
9,0.245,0.38,5.9,0.045,52,159,2.93,0.35,6
6.9,0.2,0.4,7.7,0.032,51,176,3.22,0.27,5
7.4,0.19,0.42,6.4,0.067,39,212,3.3,0.33,6
8.2,0.2,0.36,8.1,0.035,60,163,3.05,0.3,6
8,0.59,0.71,17.35,0.038,61,228,2.95,0.75,5
7.9,0.14,0.45,1.8,0.05,17,114,3.33,0.49,7
6.8,0.24,0.4,1.8,0.047,34,105,3.13,0.49,8
9.7,0.14,0.59,1.5,0.049,23,142,2.98,0.62,5
9.2,0.15,0.68,1.6,0.046,22,130,3.02,0.45,6
9.4,0.17,0.55,1.6,0.049,14,94,3.02,0.61,6
5.2,0.365,0.08,13.5,0.041,37,142,3.46,0.39,6
6.3,0.23,0.22,3.75,0.039,37,116,3.23,0.5,6
9.6,0.25,0.54,1.3,0.04,16,160,2.94,0.43,5
9.2,0.32,0.42,1.3,0.046,14,186,3.08,0.48,5
6.4,0.31,0.4,6.2,0.04,46,169,3.15,0.46,6
8.1,0.2,0.36,9.7,0.044,63,162,3.1,0.46,6
7.9,0.255,0.26,2,0.026,40,190,3.04,0.39,6
7,0.15,0.34,1.4,0.039,21,177,3.32,0.62,5
6.4,0.15,0.31,1.1,0.044,25,96,3.54,0.51,6
6.4,0.25,0.53,6.6,0.038,59,234,3.03,0.42,5
7.6,0.19,0.42,1.5,0.044,6,114,3.04,0.74,6
7.3,0.43,0.37,4.6,0.028,17,114,3.23,0.43,6
5.1,0.31,0.3,0.9,0.037,28,152,3.54,0.56,6
6.2,0.2,0.26,1.7,0.093,40,161,3.44,0.66,5
6.9,0.16,0.35,1.3,0.043,21,182,3.25,0.62,6
7.7,0.32,0.48,2.3,0.04,28,114,3.2,0.52,7
6.5,0.22,0.72,6.8,0.042,33,168,3.12,0.36,6
6.8,0.26,0.33,1.5,0.047,44,167,3.12,0.44,6
5.2,0.37,0.33,1.2,0.028,13,81,3.37,0.38,6
8.4,0.19,0.43,2.1,0.052,20,104,2.85,0.46,5
8.3,0.21,0.41,2.2,0.05,24,108,2.85,0.45,5
6.8,0.15,0.32,8.8,0.058,24,110,3.4,0.4,6
7.9,0.16,0.64,17,0.05,69,210,3.15,0.51,7
7.8,0.21,0.39,1.8,0.034,62,180,3.09,0.75,8
9,0.24,0.5,1.2,0.048,26,107,3.21,0.34,6
5.7,0.21,0.24,2.3,0.047,60,189,3.65,0.72,6
7.8,0.29,0.36,7,0.042,38,161,3.26,0.37,8
6.7,0.18,0.3,6.4,0.048,40,251,3.29,0.52,5
6.7,0.18,0.3,6.4,0.048,40,251,3.29,0.52,5
8.4,0.58,0.27,12.15,0.033,37,116,2.99,0.39,6
7.2,0.16,0.32,0.8,0.04,50,121,3.27,0.33,6
7.6,0.54,0.23,2,0.029,13,151,3.04,0.33,5
8.4,0.58,0.27,12.15,0.033,37,116,2.99,0.39,6
6.6,0.25,0.31,12.4,0.059,52,181,3.51,0.47,6
7.3,0.23,0.37,1.9,0.041,51,165,3.26,0.4,8
7.3,0.39,0.37,1.1,0.043,36,113,3.39,0.48,8
7,0.46,0.39,6.2,0.039,46,163,3.21,0.35,7
8.2,0.35,0.4,6.3,0.039,35,162,3.15,0.34,7
7.8,0.29,0.36,7,0.042,38,161,3.26,0.37,8
9.2,0.35,0.39,0.9,0.042,15,61,2.96,0.28,4
8,0.57,0.39,3.9,0.034,22,122,3.29,0.67,7
6.5,0.37,0.33,3.9,0.027,40,130,3.28,0.39,7
5.7,0.21,0.24,2.3,0.047,60,189,3.65,0.72,6
6.7,0.18,0.3,6.4,0.048,40,251,3.29,0.52,5
7.8,0.13,0.3,1.8,0.04,43,179,3.43,0.41,5
7.6,0.19,0.41,1.1,0.04,38,143,2.92,0.42,5
7.3,0.22,0.41,15.4,0.05,55,191,3.32,0.59,6
6.3,0.29,0.4,6.5,0.039,43,167,3.15,0.44,6
6.8,0.35,0.32,2.4,0.048,35,103,3.28,0.46,8
6.5,0.19,0.32,1.4,0.04,31,132,3.36,0.54,7
6.2,0.12,0.26,5.7,0.044,56,158,3.52,0.37,6
6,0.13,0.28,5.7,0.038,56,189.5,3.59,0.43,7
6.4,0.25,0.33,1.4,0.04,42,115,3.19,0.48,7
6.9,0.32,0.16,1.4,0.051,15,96,3.22,0.38,4
7.6,0.19,0.41,1.1,0.04,38,143,2.92,0.42,5
6.7,0.13,0.28,1.2,0.046,35,140,3.33,0.33,7
7,0.14,0.41,0.9,0.037,22,95,3.25,0.43,6
7.6,0.27,0.24,3.8,0.058,19,115,3.15,0.45,5
7.3,0.22,0.41,15.4,0.05,55,191,3.32,0.59,6
7.4,0.64,0.47,14.15,0.168,42,185,2.9,0.49,5
7.6,0.28,0.39,1.9,0.052,23,116,3.25,0.4,6
8.3,0.26,0.41,9.2,0.042,41,162,3.1,0.38,7
10.7,0.22,0.56,8.2,0.044,37,181,2.87,0.68,6
10.7,0.22,0.56,8.2,0.044,37,181,2.87,0.68,6
6.9,0.23,0.34,2.7,0.032,24,121,3.14,0.38,7
6.2,0.3,0.32,1.7,0.032,30,130,3.28,0.41,7
6.9,0.27,0.41,1.7,0.047,6,134,3.15,0.69,6
6.9,0.28,0.41,1.7,0.05,10,136,3.16,0.71,6
6.9,0.28,0.3,1.6,0.047,46,132,3.35,0.38,7
6.9,0.46,0.2,0.9,0.054,5,126,3.1,0.42,6
6.9,0.38,0.32,8.5,0.044,36,152,3.38,0.35,7
5.7,0.43,0.3,5.7,0.039,24,98,3.54,0.61,7
6.6,0.56,0.16,3.1,0.045,28,92,3.12,0.35,6
7.1,0.36,0.56,1.3,0.046,25,102,3.24,0.33,6
6.8,0.23,0.4,1.6,0.047,5,133,3.23,0.7,6
6.2,0.33,0.29,1.3,0.042,26,138,3.77,0.64,5
5.6,0.49,0.13,4.5,0.039,17,116,3.42,0.9,7
6.6,0.42,0.33,2.8,0.034,15,85,3.28,0.51,6
7.3,0.18,0.29,1.2,0.044,12,143,3.2,0.48,7
8.1,0.19,0.4,0.9,0.037,73,180,3.06,0.34,6
5.9,0.19,0.26,7.4,0.034,33,123,3.49,0.42,6
6.2,0.16,0.47,1.4,0.029,23,81,3.26,0.42,6
6.6,0.42,0.33,2.8,0.034,15,85,3.28,0.51,6
5.7,0.135,0.3,4.6,0.042,19,101,3.31,0.42,6
5.6,0.49,0.13,4.5,0.039,17,116,3.42,0.9,7
6.9,0.19,0.33,1.6,0.039,27,98,3.09,0.46,7
7.3,0.18,0.29,1.2,0.044,12,143,3.2,0.48,7
7.3,0.25,0.36,13.1,0.05,35,200,3.04,0.46,7
7.3,0.25,0.36,13.1,0.05,35,200,3.04,0.46,7
7,0.2,0.34,5.7,0.035,32,83,3.19,0.46,6
7.3,0.25,0.36,13.1,0.05,35,200,3.04,0.46,7
6.3,0.67,0.48,12.6,0.052,57,222,3.17,0.52,6
7.4,0.4,0.29,5.4,0.044,31,122,3.3,0.5,8
7.1,0.26,0.31,2.2,0.044,29,128,3.34,0.64,8
9,0.31,0.48,6.6,0.043,11,73,2.9,0.38,5
6.3,0.39,0.24,6.9,0.069,9,117,3.15,0.35,4
8.2,0.22,0.36,6.8,0.034,12,90,3.01,0.38,8
7.1,0.19,0.28,3.6,0.033,16,78,2.91,0.78,6
7.3,0.25,0.36,13.1,0.05,35,200,3.04,0.46,7
7.9,0.2,0.34,1.2,0.04,29,118,3.14,0.41,6
7.1,0.26,0.32,5.9,0.037,39,97,3.31,0.4,6
7,0.2,0.34,5.7,0.035,32,83,3.19,0.46,6
6.9,0.3,0.33,4.1,0.035,26,155,3.25,0.79,8
8.1,0.29,0.49,7.1,0.042,22,124,3.14,0.41,6
5.8,0.17,0.3,1.4,0.037,55,130,3.29,0.38,6
5.9,0.415,0.02,0.8,0.038,22,63,3.36,0.36,5
6.6,0.23,0.26,1.3,0.045,16,128,3.36,0.6,6
8.6,0.55,0.35,15.55,0.057,35.5,366.5,3.04,0.63,3
6.9,0.35,0.74,1,0.044,18,132,3.13,0.55,5
7.6,0.14,0.74,1.6,0.04,27,103,3.07,0.4,7
9.2,0.28,0.49,11.8,0.042,29,137,3.1,0.34,4
6.2,0.18,0.49,4.5,0.047,17,90,3.27,0.37,6
5.3,0.165,0.24,1.1,0.051,25,105,3.32,0.47,5
9.8,0.25,0.74,10,0.056,36,225,3.06,0.43,4
8.1,0.29,0.49,7.1,0.042,22,124,3.14,0.41,6
6.8,0.22,0.49,0.9,0.052,26,128,3.25,0.35,6
7.2,0.22,0.49,1,0.045,34,140,3.05,0.34,6
7.4,0.25,0.49,1.1,0.042,35,156,3.13,0.55,5
8.2,0.18,0.49,1.1,0.033,28,81,3,0.68,7
6.1,0.22,0.49,1.5,0.051,18,87,3.3,0.46,5
7,0.39,0.24,1,0.048,8,119,3,0.31,4
6.1,0.22,0.49,1.5,0.051,18,87,3.3,0.46,5
6.5,0.36,0.49,2.9,0.03,16,94,3.1,0.49,7
7.1,0.29,0.49,1.2,0.031,32,99,3.07,0.33,6
7.4,0.25,0.49,1.1,0.042,35,156,3.13,0.55,5
6.9,0.23,0.24,14.2,0.053,19,94,3.17,0.5,5
8.5,0.56,0.74,17.85,0.051,51,243,2.99,0.7,5
8.2,0.18,0.49,1.1,0.033,28,81,3,0.68,7
6.3,0.23,0.49,7.1,0.05,67,210,3.23,0.34,5
6.1,0.25,0.49,7.6,0.052,67,226,3.16,0.47,5
7.2,0.26,0.74,13.6,0.05,56,162,3.03,0.44,5
7.2,0.31,0.24,1.4,0.057,17,117,3.16,0.35,5
8,0.25,0.49,1.2,0.061,27,117,3.08,0.34,5
7,0.18,0.49,5.3,0.04,34,125,3.24,0.4,6
7.8,0.43,0.49,13,0.033,37,158,3.14,0.35,6
8.3,0.2,0.74,4.45,0.044,33,130,3.25,0.42,6
6.3,0.27,0.49,1.2,0.063,35,92,3.38,0.42,6
7.4,0.16,0.49,1.2,0.055,18,150,3.23,0.47,6
7.4,0.16,0.49,1.2,0.055,18,150,3.23,0.47,6
6.9,0.19,0.49,6.6,0.036,49,172,3.2,0.27,6
7.8,0.43,0.49,13,0.033,37,158,3.14,0.35,6
7.2,0.4,0.49,1.1,0.048,11,138,3.01,0.42,5
7.8,0.43,0.49,13,0.033,37,158,3.14,0.35,6
7.6,0.52,0.49,14,0.034,37,156,3.14,0.38,7
8.3,0.21,0.49,19.8,0.054,50,231,2.99,0.54,5
6.9,0.34,0.74,11.2,0.069,44,150,3,0.81,5
6.3,0.27,0.49,1.2,0.063,35,92,3.38,0.42,6
8.3,0.2,0.74,4.45,0.044,33,130,3.25,0.42,6
7.1,0.22,0.74,2.7,0.044,42,144,3.31,0.41,6
7.9,0.11,0.49,4.5,0.048,27,133,3.24,0.42,6
8.5,0.17,0.74,3.6,0.05,29,128,3.28,0.4,6
6.4,0.145,0.49,5.4,0.048,54,164,3.56,0.44,6
7.4,0.16,0.49,1.2,0.055,18,150,3.23,0.47,6
8.3,0.19,0.49,1.2,0.051,11,137,3.06,0.46,6
8,0.44,0.49,9.1,0.031,46,151,3.16,0.27,8
7,0.2,0.74,0.8,0.044,19,163,3.46,0.53,5
6.9,0.19,0.49,6.6,0.036,49,172,3.2,0.27,6
7.1,0.25,0.49,3,0.03,30,96,3.13,0.39,7
6.5,0.24,0.24,1.6,0.046,15,60,3.19,0.39,5
7.2,0.4,0.49,1.1,0.048,11,138,3.01,0.42,5
7.6,0.52,0.49,14,0.034,37,156,3.14,0.38,7
7.8,0.43,0.49,13,0.033,37,158,3.14,0.35,6
7.8,0.21,0.49,1.35,0.052,6,48,3.15,0.28,5
7,0.2,0.49,5.9,0.038,39,128,3.21,0.48,6
6.9,0.25,0.24,3.6,0.057,13,85,2.99,0.48,4
7.2,0.08,0.49,1.3,0.05,18,148,3.46,0.44,6
7.1,0.85,0.49,8.7,0.028,40,184,3.22,0.36,5
7.6,0.51,0.24,1.2,0.04,10,104,3.05,0.29,6
7.9,0.22,0.24,4.6,0.044,39,159,2.99,0.28,6
7.7,0.16,0.49,2,0.056,20,124,3.32,0.49,6
7.2,0.08,0.49,1.3,0.05,18,148,3.46,0.44,6
6.6,0.25,0.24,1.7,0.048,26,124,3.37,0.6,6
6.7,0.16,0.49,2.4,0.046,57,187,3.62,0.81,6
6.9,0.25,0.24,3.6,0.057,13,85,2.99,0.48,4
7.5,0.32,0.24,4.6,0.053,8,134,3.14,0.5,3
7.4,0.28,0.49,1.5,0.034,20,126,2.98,0.39,6
6.2,0.15,0.49,0.9,0.033,17,51,3.3,0.7,6
6.7,0.25,0.74,19.4,0.054,44,169,3.51,0.45,6
6.5,0.26,0.74,13.3,0.044,68,224,3.18,0.54,6
7.9,0.16,0.74,17.85,0.037,52,187,2.99,0.41,5
5.6,0.185,0.49,1.1,0.03,28,117,3.55,0.45,6
7.5,0.2,0.49,1.3,0.031,8,97,3.06,0.62,5
8,0.3,0.49,9.4,0.046,47,188,3.14,0.48,5
8,0.34,0.49,9,0.033,39,180,3.13,0.38,8
7.7,0.35,0.49,8.65,0.033,42,186,3.14,0.38,8
7.6,0.29,0.49,9.6,0.03,45,197,3.13,0.38,7
6.7,0.62,0.24,1.1,0.039,6,62,3.41,0.32,5
6.8,0.27,0.49,1.2,0.044,35,126,3.13,0.48,7
7.7,0.27,0.49,1.8,0.041,23,86,3.16,0.42,6
6.7,0.51,0.24,2.1,0.043,14,155,3.22,0.6,6
