@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z20.0-no-replacement

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,6
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
7,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11,6
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,6
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6
7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.933333,6
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6
6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,6
6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6
7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6
5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.066667,6
6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.933333,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6
6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,6
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6
6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6
5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.633333,6
6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,6
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333,6
5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,6
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.466667,6
6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6
7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6
7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.433333,6
6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,6
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,6
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
6,0.26,0.33,4.35,0.04,15,80,0.98934,3.29,0.5,12.7,6
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6
6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6
6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6
5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
7,0.26,0.34,10.9,0.038,25,84,0.99432,3.11,0.34,10.9,6
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,6
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6
7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6
7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,6
6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,6
5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,6
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6
6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6
6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2,6
6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6
6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,6
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6
7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6
6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6
6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6
8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12,6
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,6
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6
6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6
6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6
5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.066667,6
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6
6.8,0.23,0.33,1.9,0.047,20,101,0.9914,3.1,0.46,11.1,6
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,6
5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6
6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6
5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7
6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7
6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7
6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7
7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7
9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7
6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.133333,7
7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7
6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,7
5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,7
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7
6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7
7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7
7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,7
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.966667,7
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,7
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
